Date,Open,High,Low,Close,Volume
2016-06-30 00:00:00-04:00,105.87,111.41,105.87,107.02,6724383
2016-07-01 00:00:00-04:00,107.78,110.08,107.78,108.93,1903917
2016-07-05 00:00:00-04:00,109.41,109.89,106.92,107.02,2018389
2016-07-06 00:00:00-04:00,107.02,107.02,107.02,107.02,0
2016-07-07 00:00:00-04:00,107.97,108.26,106.83,107.78,2630349
2016-07-08 00:00:00-04:00,107.78,108.45,107.59,107.78,1083149
2016-07-11 00:00:00-04:00,108.55,110.17,108.55,110.08,2283993
2016-07-12 00:00:00-04:00,110.08,110.36,109.41,109.69,1707804
2016-07-13 00:00:00-04:00,110.36,110.46,108.26,108.36,3180343
2016-07-14 00:00:00-04:00,108.36,108.93,107.69,107.97,2003664
2016-07-15 00:00:00-04:00,107.97,109.79,107.88,108.93,1901468
2016-07-18 00:00:00-04:00,108.93,109.41,108.45,109.31,1140720
2016-07-19 00:00:00-04:00,109.22,110.36,108.93,110.17,1415251
2016-07-20 00:00:00-04:00,110.17,110.65,109.89,110.65,1530016
2016-07-21 00:00:00-04:00,110.65,110.65,109.5,109.89,2092129
2016-07-22 00:00:00-04:00,109.79,110.55,108.93,109.12,2280592
2016-07-25 00:00:00-04:00,109.12,110.36,108.93,109.31,1618669
2016-07-26 00:00:00-04:00,109.31,109.79,108.55,109.41,4364620
2016-07-27 00:00:00-04:00,109.41,109.6,109.03,109.22,877920
2016-07-28 00:00:00-04:00,108.93,109.22,108.45,109.22,1814960
2016-07-29 00:00:00-04:00,109.41,110.27,108.17,108.17,2258740
2016-08-01 00:00:00-04:00,110.27,110.27,108.45,109.6,2582626
2016-08-02 00:00:00-04:00,109.89,112.18,109.79,111.8,3349120
2016-08-03 00:00:00-04:00,111.8,111.8,108.45,108.93,3017353
2016-08-04 00:00:00-04:00,109.03,110.84,109.03,109.69,1278132
2016-08-05 00:00:00-04:00,109.69,110.17,109.6,109.89,1113143
2016-08-08 00:00:00-04:00,109.89,111.61,109.79,110.36,1576053
2016-08-09 00:00:00-04:00,111.32,112.27,110.65,111.51,1691415
2016-08-10 00:00:00-04:00,111.8,114.18,110.84,114.18,2519844
2016-08-11 00:00:00-04:00,114.18,114.18,112.66,113.04,2764224
2016-08-12 00:00:00-04:00,113.71,113.71,110.84,111.41,1406638
2016-08-15 00:00:00-04:00,110.94,110.94,107.88,108.93,2992309
2016-08-16 00:00:00-04:00,108.93,109.89,108.74,109.89,1490456
2016-08-17 00:00:00-04:00,108.93,109.12,108.17,108.93,1734177
2016-08-18 00:00:00-04:00,108.64,109.89,108.64,108.83,1045431
2016-08-19 00:00:00-04:00,108.83,108.83,106.35,108.17,2394048
2016-08-22 00:00:00-04:00,108.26,109.89,108.26,109.6,840025
2016-08-23 00:00:00-04:00,109.5,109.89,108.55,109.89,1329612
2016-08-24 00:00:00-04:00,109.89,109.89,107.59,109.22,1531711
2016-08-25 00:00:00-04:00,109.22,109.22,107.11,107.97,2084468
2016-08-26 00:00:00-04:00,107.97,109.12,107.59,108.74,1444303
2016-08-29 00:00:00-04:00,108.74,108.74,108.74,108.74,0
2016-08-30 00:00:00-04:00,108.74,108.74,106.44,107.02,3180060
2016-08-31 00:00:00-04:00,107.02,109.22,105.97,109.22,2505192
2016-09-01 00:00:00-04:00,107.97,108.93,105.78,108.93,2148590
2016-09-02 00:00:00-04:00,107.78,107.88,106.64,107.31,1991356
2016-09-06 00:00:00-04:00,106.92,106.92,105.01,106.83,3067786
2016-09-07 00:00:00-04:00,106.83,106.92,104.63,105.39,3011775
2016-09-08 00:00:00-04:00,105.39,107.5,104.44,106.35,2166308
2016-09-09 00:00:00-04:00,106.35,107.88,105.87,106.54,1665408
2016-09-12 00:00:00-04:00,106.54,106.54,106.54,106.54,0
2016-09-13 00:00:00-04:00,106.44,107.4,104.53,104.53,3529828
2016-09-14 00:00:00-04:00,104.53,105.39,103.86,104.15,2214931
2016-09-15 00:00:00-04:00,104.63,107.97,102.62,107.97,3188328
2016-09-16 00:00:00-04:00,106.35,106.83,103.67,106.06,2578000
2016-09-19 00:00:00-04:00,106.06,106.25,105.3,105.58,1321292
2016-09-20 00:00:00-04:00,105.78,107.02,105.68,106.54,664623
2016-09-21 00:00:00-04:00,106.35,106.35,105.11,105.58,1035583
2016-09-22 00:00:00-04:00,105.58,106.44,105.58,105.68,945350
2016-09-23 00:00:00-04:00,106.06,106.83,105.39,106.16,1563254
2016-09-26 00:00:00-04:00,106.06,106.06,101.38,102.24,2624896
2016-09-27 00:00:00-04:00,102.14,102.14,98.71,98.9,3193791
2016-09-28 00:00:00-04:00,99.37,100.62,99.37,100.33,5955043
2016-09-29 00:00:00-04:00,102.14,103.58,100.62,103.2,2980923
2016-09-30 00:00:00-04:00,103.48,104.92,102.91,104.92,5026490
2016-10-03 00:00:00-04:00,105.11,105.3,104.82,105.2,2486637
2016-10-04 00:00:00-04:00,105.39,105.58,105.11,105.58,2551429
2016-10-05 00:00:00-04:00,105.58,105.58,104.53,105.2,1285876
2016-10-06 00:00:00-04:00,105.2,105.2,104.92,105.11,995720
2016-10-07 00:00:00-04:00,105.11,105.3,102.62,104.15,2632714
2016-10-10 00:00:00-04:00,104.34,105.2,104.06,104.25,1116816
2016-10-11 00:00:00-04:00,104.25,105.2,104.25,104.72,8576538
2016-10-12 00:00:00-04:00,104.44,104.44,102.24,102.72,1280131
2016-10-13 00:00:00-04:00,102.72,103.0,100.81,101.29,1742780
2016-10-14 00:00:00-04:00,103.2,103.67,102.53,102.72,2058838
2016-10-17 00:00:00-04:00,102.72,103.2,102.05,102.72,3385299
2016-10-18 00:00:00-04:00,102.72,105.11,102.53,105.11,4157162
2016-10-19 00:00:00-04:00,105.2,109.03,105.11,108.93,5809886
2016-10-20 00:00:00-04:00,108.36,110.65,107.59,109.98,2743910
